total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
2,1.000000000000000,1,1,1,2,-2.677222369033609,1,,3
4,1.000000000000000,1,1,2,2,-1.052372065215209,1,,3
6,1.000000000000000,1,1,3,2,-.1278032029566489,1,,3
8,1.000000000000000,1,1,4,2,-.1594006011964133E-02,1,,3
9,1.000000000000000,1,1,5,1,-.2363596394161505E-06,1,,3
11,2.000000000000000,2,1,1,2,-.1823267718193176,1,,1
13,2.000000000000000,2,1,2,2,-.1543259665924168E-02,1,,1
15,2.000000000000000,2,1,3,2,-.1343392719732606E-04,1,,3
16,2.000000000000000,2,1,4,1,-.1219740104474454E-06,1,,3
