 total_inn.,totim,kper,kstp,nouter,drejinfmax,drejinfmax_loc,drchmax,drchmax_loc                                       
 2,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1                                                       
 4,1.000000000000000,1,1,2,.000000000000000,1,.000000000000000,1                                                       
 6,1.000000000000000,1,1,3,.000000000000000,1,.000000000000000,1                                                       
 8,1.000000000000000,1,1,4,.000000000000000,1,.000000000000000,1                                                       
 9,1.000000000000000,1,1,5,.000000000000000,1,.000000000000000,1                                                       
 11,2.000000000000000,2,1,1,.000000000000000,1,.000000000000000,1                                                      
 13,2.000000000000000,2,1,2,.000000000000000,1,.000000000000000,1                                                      
 15,2.000000000000000,2,1,3,.000000000000000,1,.000000000000000,1                                                      
 16,2.000000000000000,2,1,4,.000000000000000,1,.000000000000000,1                                                      
