total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
26,1.000000000000000,1,1,1,26,-6.668530206862371,1,,1513
62,1.000000000000000,1,1,2,36,-3.701704126517640,1,,73
104,1.000000000000000,1,1,3,42,-8.192188966003016,1,,266
144,1.000000000000000,1,1,4,40,-4.940878317371258,1,,241
177,1.000000000000000,1,1,5,33,-1.211621570151152,1,,241
210,1.000000000000000,1,1,6,33,-.9276052939284796E-01,1,,241
234,1.000000000000000,1,1,7,24,-.5087015500606640E-03,1,,317
235,1.000000000000000,1,1,8,1,.1688111126441072E-06,1,,287
