 total_inn.,totim,kper,kstp,nouter,drejinfmax,drejinfmax_loc,drchmax,drchmax_loc                                       
 26,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1                                                      
 62,1.000000000000000,1,1,2,.000000000000000,1,.000000000000000,1                                                      
 104,1.000000000000000,1,1,3,.000000000000000,1,.000000000000000,1                                                     
 144,1.000000000000000,1,1,4,.000000000000000,1,.000000000000000,1                                                     
 177,1.000000000000000,1,1,5,.000000000000000,1,.000000000000000,1                                                     
 210,1.000000000000000,1,1,6,.000000000000000,1,.000000000000000,1                                                     
 234,1.000000000000000,1,1,7,.000000000000000,1,.000000000000000,1                                                     
 235,1.000000000000000,1,1,8,.000000000000000,1,.000000000000000,1                                                     
