 total_inn.,totim,kper,kstp,nouter,dvmax,dvmax_loc,residmax,residmax_loc,dgwfmax,dgwfmax_loc                                                           
 25,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 59,1.000000000000000,1,1,2,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 102,1.000000000000000,1,1,3,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 138,1.000000000000000,1,1,4,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 178,1.000000000000000,1,1,5,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 217,1.000000000000000,1,1,6,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 242,1.000000000000000,1,1,7,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 243,1.000000000000000,1,1,8,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
