total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
25,1.000000000000000,1,1,1,25,-7.175446578627529,1,,1513
59,1.000000000000000,1,1,2,34,-3.820077362601154,1,,73
102,1.000000000000000,1,1,3,43,-7.982616085222020,1,,223
138,1.000000000000000,1,1,4,36,-5.986573531062476,1,,241
178,1.000000000000000,1,1,5,40,-1.745423521748620,1,,241
217,1.000000000000000,1,1,6,39,-.2048253564913836,1,,241
242,1.000000000000000,1,1,7,25,-.2798167081607517E-02,1,,241
243,1.000000000000000,1,1,8,1,-.5917038095049065E-06,1,,545
