0,1,2
158.7539054096017,158.5669967009062,158.42756618616693
204.00386931132445,203.98465841698945,203.97377283945346
210.9737463062698,211.0447899802335,211.18345121668293
264.83871617511693,266.1035003275666,267.27556108456463
303.9369983540506,303.76818427524853,303.59226124785243
311.26047987155084,311.1027153906249,310.88797479330145
326.1964699515991,326.2026491344331,326.215705192439
333.09102424929677,332.34083643548973,331.0067459744921
417.2524992947775,416.89788750902784,416.8677943777329
417.51734813639575,417.414473375566,417.31570836986583
417.37549100859286,417.2654503941412,417.12177404932726
418.4145941947144,418.21325405513784,417.8605663029541
434.7022760111718,434.72661099419463,434.8307652537593
442.9969774144153,443.0688252499757,443.2553719936977
444.9305862961941,444.9151692273506,444.9218850757303
445.01079097202137,444.99642742244623,445.0036388015201
444.8702704722202,444.9076946245304,444.965799190484
440.599928518322,439.2010050303188,437.60903230320736
473.11231125808536,472.9584517650398,472.9376467817075
483.0690393838958,479.94745742515914,479.604143520753
444.0152554964703,444.0067870024733,444.00550310254124
406.5759774033281,406.88259429001045,407.60857758018415
351.8243322851039,351.42758156318394,351.05750286473
351.17542419845694,351.06517290849666,350.9741490142551
350.53794501494167,350.6785796676935,350.9202722612271
313.3704495008583,313.27789141665755,313.2224347205954
291.9344845270991,291.84192644289874,291.78634078138873
295.8282842599448,295.7425438637441,295.69083966425404
301.20466162217065,301.1189212259692,301.0677521821837
306.9471489946032,306.86140859840174,306.8080267231053
273.3365432069923,273.25542436514814,273.19569969826154
273.4810028233032,273.39988398145937,273.33993714712335
273.51767905554163,273.43656021369713,273.3803666736175
268.20922004523806,268.13911961847737,268.08556260670537
276.3781886542009,276.3241117709795,276.28375466787986
276.4045194202922,276.35044253707093,276.30919005277053
276.2094572129297,276.1626468037201,276.1238352944084
310.76305945205837,310.76189334164366,310.7608965116968
213.22751075752385,213.1807003483142,213.13680751302036
207.07963693142597,207.0390348419912,206.992729819821
345.10001366018247,345.0590779494526,345.02199565871484
72.52530371761607,72.48436800688671,72.3634887526254
4.706684736651557,4.706684736651557,4.706684736651556
-163.63765211189227,-163.63765211189227,-163.63765211189326
-28.932188597377376,-28.971334221175773,-29.10818595632541
90.57833939106031,90.57833939106031,90.57833939106064
138.34651335241062,138.09469475435392,137.4378679530839
141.745805640864,141.47746998775455,140.575572521552
141.3057703270585,141.2111653097184,140.83875719583133
467.41995825660064,467.34827096840064,467.1821692363769
467.38830178618747,467.31661977868725,467.18197796651157
467.36872318992437,467.3165808125411,467.1819390003502
467.3687365729866,467.3165921101444,467.1819502979853
467.4072141331628,467.3550673133165,467.1819323995705
467.788711605796,467.35501307439756,467.18187816030036
467.7887383903052,467.3550398588161,467.1819049446927
467.8694368679247,467.43565392859847,467.18182264136055
467.47479891995727,467.4355606762242,467.181729388747
467.4750836210444,467.4356617058938,467.181646768872
467.4280538131345,467.388632042538,467.18150820709985
467.46493983655165,467.3877720571781,467.1812215930311
467.4640692646755,467.38711013158803,467.18074331712177
467.34135278334463,467.2644138586523,467.18038102715605
467.5382413392644,467.26392671457705,467.1798938830148
467.5376435436097,467.2635149525829,467.17948212101953
467.49277427359726,467.21877289027447,467.17910558829453
467.56483654686065,467.2186981148635,467.17903081286516
467.5646986691934,467.2185836441475,467.1789163421401
467.56488386053576,467.21874126737066,467.1787332120546
468.08407357806914,467.2185764035986,467.1785683482893
468.0932368616575,467.2235333049121,467.17830561769915
468.09560182756474,467.22679757046245,467.177736908362
467.2970456298279,467.2262341182858,467.1771734562086
467.2959960999972,467.22519741701154,467.1761367549684
467.29207748066244,467.22128068626023,467.17564934043133
467.29176308761726,467.2209108439343,467.1752849600525
467.2915507178355,467.2207124663732,467.17508658244907
467.2916331239996,467.220800167208,467.1750444133996
467.30251352816964,467.2208645807555,467.17510882694745
467.30261632670096,467.2209676373054,467.1752118835074
467.3010674415053,467.2194224610351,467.17535517217806
467.3013949856361,467.2194533424323,467.1753860535597
467.3014180581221,467.21947456238,467.1754072734641
467.3227874259915,467.2408596440012,467.1761899232791
467.30593991916595,467.2415574522342,467.1768877315102
467.3063706509326,467.2419837045833,467.1773139838611
467.30114432670007,467.2367573803812,467.17760878512064
467.31194065780113,467.2369199927278,467.17777139746977
467.3120735288645,467.2370543807015,467.17790578538336
467.3149759593758,467.23994440949576,467.17802394288407
467.32459571388625,467.2402081685068,467.1782877018966
467.32485793564484,467.2404670047035,467.1785465381096
467.32398282386663,467.2395791279589,467.1790889643326
467.32370171484354,467.23981346732126,467.17932330369933
467.32386691017507,467.23995993248457,467.17946976882433
467.4289812164359,467.34507423868894,467.17994148705264
467.4102875941955,467.34545065136206,467.180317899751
467.41052169652033,467.3456576903444,467.18052493872926
467.38733686403174,467.3224728578664,467.18066659261837
467.38072261265444,467.32272274610057,467.18091648088944
467.3811998853543,467.3231897759415,467.1813835107396
467.42518861856394,467.36717114858635,467.1817691575336
467.42231934702124,467.3679053740092,467.18201596752203
467.422461101497,467.3680402759102,467.182150869422
467.4235677827845,467.3691421949331,467.18233870144405
467.42474208792805,467.3694994681599,467.1826959746435
467.42150161280364,467.368024561438,467.1829908797204
467.55651324499723,467.50303194530346,467.18304799035
467.5561431758857,467.50306975543145,467.18308580044317
467.5561158747242,467.5030450866877,467.1830611317343
467.5671264485706,467.514053188518,467.18291260152745
467.58019809442516,467.51363745690975,467.182496869939
467.9144565694597,467.8490281075041,467.51306248265945
467.93688927811814,467.87146304026527,467.5129908800192
468.03256885280774,467.87162619422026,467.5131540343852
468.03252998885694,467.8716020197858,467.513129860021
468.03544522845215,467.87457757606734,467.5128102990032
468.06799183473873,467.8753583911891,467.5126353766206
468.07471834856335,467.8787094775988,467.51257784004173
468.04217117563184,467.8461388654958,467.5125563396935
468.0499967701726,467.8460329549301,467.51245042908533
468.049718720334,467.8457825392563,467.5122000136114
467.97955502643487,467.77557989512525,467.5121868529997
467.9345754933168,467.77487624953545,467.5121589182134
467.9345052389572,467.77482021887727,467.5121028874405
467.9741319147716,467.814404405151,467.51189657771477
467.97092416525527,467.81414468701513,467.5116368600517
467.97061654656227,467.81393516907946,467.5114273422187
468.02667733031507,467.87002429207297,467.51117388848576
467.95791565528447,467.8698755698537,467.5110251659925
467.9578569445453,467.8698203739066,467.51096996992754
467.7671436857496,467.6791334317563,467.5108922925421
467.73565742012886,467.67892483274983,467.51068369360877
467.7355468494676,467.67882169295405,467.51058055340377
467.81754878443286,467.76083154159426,467.51054311296144
467.8090133910171,467.76079000509884,467.51050157680976
467.8089446445574,467.76072282909587,467.5104344003598
467.7879889320746,467.7397681243091,467.5103547478159
467.81899340264164,467.7397133722109,467.51029999584614
467.8188669074725,467.73958925460926,467.51017587831103
467.78157851612485,467.70230867735415,467.5099286931164
467.75353728867015,467.70219438155937,467.509814397237
467.69220515454424,467.67154971281326,467.50985599395847
467.8776844219155,467.85702874163053,467.50975112948754
467.874935465703,467.85697734708526,467.50969973539605
467.8748435425671,467.85688641292796,467.50960880139917
467.90860537180214,467.8906478958811,467.5095289990483
467.9171033399806,467.89049381726903,467.5093749204566
467.9171159657834,467.89050527132,467.50938637482903
467.963336511092,467.93672737698296,467.50974672474285
467.9635581656266,467.9369485412876,467.50996788896265
467.9639171206426,467.937304363625,467.51032371119067
467.89048226020026,467.86386950315745,467.5105681715426
467.890698341038,467.86408205675076,467.51078072526656
467.89081285196767,467.8641902066916,467.510888875624
467.8977716726588,467.871147855617,467.5109860985367
467.89784424028596,467.8712150307318,467.511053273459
467.8979413669876,467.8713058861045,467.5111441288102
467.9007017788024,467.8740623880458,467.51140364474617
467.90113605522896,467.874494990526,467.5118362472869
467.90140275281175,467.8747608093019,467.51210206652087
467.8986983762411,467.87204958149925,467.51219631261966
467.8987637281329,467.8721114958183,467.51225822693465
467.89884019932447,467.8721839555045,467.5123306864253
467.903268968948,467.87661204359347,467.5124149312514
467.9044598459383,467.8777956688073,467.51251920236376
467.90455239778385,467.877880968853,467.5126045019574
467.919078798939,467.8924076689299,467.5126811930373
467.9167337755862,467.8924649621838,467.5127384867103
467.916867125403,467.8925909462142,467.5128644707085
467.5490469070041,467.52476832981756,467.5130760592536
467.5490552997735,467.5247740721063,467.51308180153256
467.549061973541,467.52477636880207,467.51308409822127
467.5490430346517,467.52475610215464,467.5130852676899
467.5490454574815,467.5247569498477,467.51308611538286
468.493772874606,468.46876284841005,468.45708207350157
468.4937604330664,468.468748675218,468.4570669100822
468.493744467299,468.46873750048303,468.4570557353371
468.514605985177,468.4791604044954,468.4570412674803
468.5146112317444,468.47916416172313,468.4570193660305
468.51489404520447,468.47913818106366,468.4569933853668
468.514871147715,468.47911223864105,468.45696589753993
468.5148338316775,468.479076527643,468.4569433923749
468.51481502244536,468.47905569012806,468.456922554838
468.5068599575572,468.4750646203554,468.4568869387381
468.5067794526344,468.4749957018421,468.456850238691
468.50671805218656,468.4749485044268,468.4568030412857
468.5066635320352,468.4749021024697,468.4567566392928
468.5065805046906,468.4748324317416,468.45669959087024
468.50647578162767,468.4747307588426,468.45659791799886
468.5063741734961,468.4746367579821,468.4565039171192
468.5062755604301,468.4745421240381,468.4564166414821
468.5061776624853,468.47444912389113,468.45632364136304
468.5060931541709,468.47436453816186,468.45623905563264
468.50596230829495,468.4742366443582,468.4561158027506
468.5058858381556,468.4741617792568,468.4560409376163
468.5058011631384,468.4740804898578,468.45595964823343
468.5056929204704,468.47397799652265,468.4558749000651
468.5056425231926,468.4739260819179,468.4558229854621
468.50553060606535,468.4738297251711,468.4557266287367
468.5055171186711,468.4738244333878,468.45567912772043
468.5054745563322,468.47378187106386,468.4556379741939
468.5054384272915,468.47375208486596,468.45560818799254
468.5054054994168,468.47371915699637,468.4555872639656
468.5053724472899,468.4736833953784,468.4555515023752
468.5053533008651,468.4736557178352,468.45552382481657
468.50530871393926,468.4736134894659,468.45549521260045
468.50528831096057,468.47359554311356,468.45547726624756
468.50527434800716,468.47357566053097,468.45545738368384
468.50527647902027,468.47357602133667,468.45541688719095
468.50523529530597,468.47353136427864,468.4553722301305
468.505195206014,468.4734939019195,468.4553347677631
468.59820813169733,468.56650834490995,468.45521998408867
468.5980617665971,468.5663610508339,468.4550726900206
468.5671700435384,468.55087747785495,468.4549996360055
468.6365123277848,468.6202172228849,468.4550939448415
468.6367509849993,468.6204490314771,468.4553257534481
468.6364720639455,468.6204434735532,468.4555929601611
468.71976541220215,468.70373901521066,468.4557614577562
468.72001187209577,468.70398547510166,468.4560079175324
468.72064917396807,468.70462345822085,468.4566459005831
468.9225259655869,468.9064991454019,468.4569959906148
468.9227626713082,468.90672900251724,468.4572258486969
468.92290654490165,468.90686823119165,468.45736507545524
468.82139696413424,468.80534113920237,468.4574558766019
468.82420844060726,468.80541791535967,468.4575326527826
468.8243388508598,468.80555154909496,468.4576662866684
468.7201771118364,468.70138637705514,468.4578251393099
468.72029645588464,468.7014981462333,468.4579369083534
