,0,1
0,0.017354169,113.7119904
1,261.6067218,110.4660034
2,283.7367239,120.3479996
3,302.7052971,123.3570023
4,340.3482796,125.7789917
5,453.2772272,124.461998
6,481.4359231,127.4329987
7,525.4017634,157.8119965
8,539.9589888,161.7720032
9,565.2504198,184.7920074
10,608.9220962,213.0669861
11,663.327978,257.3059998
12,691.7808378,267.993988
13,707.5879821,282.0039978
14,731.6294942,295.9370117
15,837.279829,372.8559875
16,851.8370545,375.7799988
17,863.2328511,387.3110046
18,922.0500807,425.4739685
19,966.0159209,447.5610046
20,981.5289014,449.0449829
21,1000.497475,456.5249939
22,1016.010455,456.6469727
23,1044.463315,465.1149902
24,1088.134991,464.8549805
25,1098.575033,468.0329895
26,1108.353483,464.2349548
27,1301.641335,465.6549988
28,1353.179952,462.5839844
29,1361.414319,465.3970032
30,1408.541588,434.8809814
31,1455.374694,437.17099
32,1466.108899,432.256012
33,1502.796127,430.8800049
34,1511.986249,433.2770081
35,1530.954823,429.3889771
36,1561.319192,430.1069641
37,1576.832173,435.1629639
38,1635.355239,437.822998
39,1688.805365,452.6259766
40,1724.536838,475.9999695
41,1730.859696,477.20401
42,1741.005573,473.5499573
43,1812.468519,467.9379578
44,1922.236037,473.5699768
45,2085.453683,473.7940063
