 total_inn.,totim,kper,kstp,nouter,dvmax,dvmax_loc,residmax,residmax_loc,dgwfmax,dgwfmax_loc                                                           
 23,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 45,1.000000000000000,1,1,2,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 67,1.000000000000000,1,1,3,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 88,1.000000000000000,1,1,4,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 110,1.000000000000000,1,1,5,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 126,1.000000000000000,1,1,6,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 130,1.000000000000000,1,1,7,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 131,1.000000000000000,1,1,8,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 140,2.000000000000000,2,1,1,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 148,2.000000000000000,2,1,2,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 156,2.000000000000000,2,1,3,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 164,2.000000000000000,2,1,4,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 171,2.000000000000000,2,1,5,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 178,2.000000000000000,2,1,6,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 184,2.000000000000000,2,1,7,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 190,2.000000000000000,2,1,8,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 196,2.000000000000000,2,1,9,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 201,2.000000000000000,2,1,10,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 206,2.000000000000000,2,1,11,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 210,2.000000000000000,2,1,12,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 214,2.000000000000000,2,1,13,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 218,2.000000000000000,2,1,14,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 221,2.000000000000000,2,1,15,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 224,2.000000000000000,2,1,16,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
